#{"t_start": 1716703457.7062922, "env_id": "None"}
r,l,t
17.0,21,663.021009
17.0,21,663.029511
44.0,21,663.038202
8.0,21,663.046579
5.0,21,663.055217
-1.0,21,667.193233
8.0,21,667.201662
-19.0,21,667.210744
8.0,21,667.219096
8.0,21,667.228121
17.0,21,671.078486
50.0,21,671.086653
17.0,21,671.095062
-11.0,21,671.103202
56.0,21,671.111687
17.0,21,675.170914
23.0,21,675.179611
8.0,21,675.187695
29.0,21,675.196344
26.0,21,675.204499
-1.0,21,678.609209
-1.0,21,678.61755
-1.0,21,678.626517
2.0,21,678.634842
-1.0,21,678.644006
8.0,21,682.735499
78.0,21,682.744424
8.0,21,682.752787
26.0,21,682.761705
17.0,21,682.770145
11.0,21,686.910686
8.0,21,686.919055
-1.0,21,686.927483
26.0,21,686.935858
8.0,21,686.944359
2.0,21,690.482666
17.0,21,690.491362
55.0,16,690.497746
15.0,21,690.506068
-11.0,21,690.514512
-19.0,21,694.665837
27.0,21,694.674368
-1.0,21,694.682623
17.0,21,694.691011
8.0,21,694.699357
8.0,21,698.729767
17.0,21,698.738325
17.0,21,698.747433
-1.0,21,698.756118
-1.0,21,698.765332
8.0,21,702.904377
47.0,21,702.913546
17.0,21,702.922065
70.0,20,702.930741
17.0,21,702.939264
17.0,21,706.34357
17.0,21,706.351974
11.0,21,706.360994
23.0,21,706.369409
-10.0,21,706.378326
11.0,21,710.547709
17.0,21,710.556247
8.0,21,710.565526
8.0,21,710.574188
17.0,21,710.583275
8.0,21,714.287102
27.0,21,714.297921
8.0,21,714.307595
17.0,21,714.317865
8.0,21,714.328078
-1.0,21,718.025557
8.0,21,718.034237
-1.0,21,718.042758
17.0,21,718.051404
-1.0,21,718.059885
5.0,21,722.154105
8.0,21,722.162927
2.0,21,722.171409
42.0,16,722.178034
37.0,21,722.186629
-1.0,21,725.606661
17.0,21,725.615471
8.0,21,725.623792
17.0,21,725.632323
17.0,21,725.64042
27.0,21,730.468364
29.0,21,730.47784
18.0,21,730.487647
-1.0,21,730.498044
20.0,21,730.508116
8.0,21,734.040924
17.0,21,734.050081
23.0,21,734.058588
8.0,21,734.067617
17.0,21,734.075984
17.0,21,738.1624
17.0,21,738.171103
17.0,21,738.180217
11.0,21,738.18855
36.0,21,738.197011
8.0,21,741.717782
8.0,21,741.726121
-1.0,21,741.735018
26.0,21,741.743118
2.0,21,741.751813
11.0,21,746.490135
57.0,21,746.498556
14.0,21,746.506907
-10.0,21,746.515801
17.0,21,746.524457
17.0,21,750.189702
-1.0,21,750.198729
8.0,21,750.207434
8.0,21,750.21632
11.0,21,750.224963
26.0,21,753.71486
-4.0,21,753.723531
14.0,21,753.732137
8.0,21,753.740645
8.0,21,753.748811
8.0,21,758.044165
31.0,21,758.052514
-1.0,21,758.06086
-10.0,21,758.069335
8.0,21,758.077743
-1.0,21,762.297115
8.0,21,762.31007
17.0,21,762.322916
8.0,21,762.335788
8.0,21,762.348625
17.0,21,766.386282
-1.0,21,766.394727
17.0,21,766.40354
17.0,21,766.411924
8.0,21,766.42062
